iter	Passed	Remaining
0	0	96
1	2	108
2	3	119
3	4	117
4	6	117
5	7	117
6	8	117
7	10	117
8	11	118
9	13	121
10	14	118
11	16	117
12	17	117
13	19	116
14	20	116
15	22	116
16	23	114
17	24	112
18	26	111
19	27	110
20	28	108
21	30	106
22	31	104
23	32	103
24	33	101
25	35	100
26	36	98
27	37	96
28	38	94
29	39	92
30	40	90
31	42	89
32	43	88
33	44	86
34	45	84
35	46	83
36	47	81
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	62	59
51	62	58
52	63	56
53	64	55
54	65	53
55	66	51
56	66	50
57	67	49
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	73	39
65	74	38
66	75	37
67	76	35
68	76	34
69	77	33
70	78	32
71	79	30
72	79	29
73	80	28
74	81	27
75	82	25
76	82	24
77	83	23
78	84	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	88	15
85	89	14
86	90	13
87	91	12
88	91	11
89	92	10
90	93	9
91	93	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	3
97	98	2
98	98	0
99	99	0
